stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
67035,901665,PERRY BLVD NW@W HIGHLANDS BLVD NW,0 PERRY BLVD NW & WEST HIGHLANDS BLVD,33.793506,-84.447294,,,,
67050,901666,DEFOORS FERRY RD NW @ GLENN AVE NW,0 DEFOORS FERRY RD NW & GLENN AVE NW,33.812869,-84.4255,,,,
67052,901667,DEFOOR AVE NW @ COLLIER RD NW,0 DEFOOR & COLLIER,33.8116,-84.426369,,,,
67055,901668,DEFOOR AVE NW@1990,,33.81001,-84.42699,,,,
67057,901785,DEFOOR AVE NW@RHOMBOID ST NW,0 DEFOOR & RHOMBOID,33.80772,-84.42513,,,,
67058,901786,DEFOOR AVE NW@MANTISSA ST NW,0 DEFOOR & MANTISSA,33.806084,-84.424957,,,,
67061,901787,DEFOOR AVE NW@CLAREMONT ST NW,0 DEFOOR & CLAREMONT,33.804541,-84.422499,,,,
67063,901788,DEFOOR AVE@DEFOOR PL,0 DEFOOR & DEFOOR,33.80287,-84.42108,,,,
67064,901669,DEFOOR AVE NW@TAYLOR ST NW,0 DEFOOR & TAYLOR,33.801849,-84.42028,,,,
67066,901670,DEFOOR AVE NW@MARVIN ST NW,0 DEFOOR & MARVIN,33.800808,-84.419006,,,,
67069,901671,BELLEMEADE AVE NW@BUCHANAN ST NW,0 BELLEMEADE & BUCHANAN,33.80037,-84.41332,,,,
67071,901898,DEFOOR AVE NW@SPRINGER ST NW,0 DEFOOR & SPRINGER,33.800633,-84.417001,,,,
67072,901899,DEFOOR AVE NW@MARVIN ST NW,0 DEFOOR & MARVIN,33.801308,-84.419083,,,,
67074,901900,DEFOOR AVE NW@TAYLOR ST NW,0 DEFOOR AVE NW & TAYLOR ST NW,33.802026,-84.420036,,,,
67076,901901,DEFOOR AVE NW@HARPER ST NW,0 DEFOOR AVE NW & HARPER ST NW,33.804512,-84.421682,,,,
