stop_id,stop_code,stop_name,stop_lat,stop_lon
99338,900211,CASCADE AVE SW@RICHLAND RD SW,33.731194,-84.439178
99340,900212,CASCADE AVE SW@WESTHAVEN DR SW,33.731964,-84.438454
100036,100036,FAIR ST SW@ABBOTT ST SW,33.748959,-84.419167
133028,133028,FAIRINGTON RD @ TIBURON DR,33.70224,-84.148796
159334,159334,ZIP INDUSTRIAL BLVD@SOUTHSIDE INDU,33.653275,-84.389267
175008,175008,ROOSEVELT HWY@FELDWOOD RD,33.614059,-84.517288
175010,175010,ROOSEVELT HWY@FELDWOOD RD,33.613003,-84.519707
175012,175012,ROOSEVELT HWY@WELCOME ALL RD SW,33.611093,-84.523496
175014,175014,ROOSEVELT HWY@BEN HILL RD,33.621288,-84.505638
151100,151100,STONEWALL DR SE@OHARA PL SE,33.691674,-84.356434
101040,101040,FAIR ST SW@ELM ST SW,33.749191,-84.409325
101042,101042,FAIR ST SW@JOHN HOPE DR SW,33.749192,-84.410651
151109,151109,VALLEY VIEW RD SE@1086,33.691437,-84.352416
151122,151122,FORREST PARK RD SE@STONEWALL DR SE,33.691174,-84.360352
151124,151124,FORREST PARK RD SE@MIDWAY ST SE,33.689859,-84.360329
158244,158244,SYLVAN RD@CHERYL DR,33.67722,-84.41872
158246,158246,SYLVAN RD@FREDELL PL,33.67918,-84.418526
158248,158248,SYLVAN RD@CLEVELAND AVE,33.680786,-84.418488
159336,159336,ZIP INDUSTRIAL BLVD SE@3720,33.654934,-84.389046
159338,159338,ZIP INDUSTRIAL BLVD SE@3600,33.656818,-84.385529
159340,159340,ZIP INDUSTRIAL BLVD SE@3550,33.658184,-84.383408
175016,175016,ROOSEVELT HWY@ORCHARD DR,33.62033,-84.50777
159342,159342,ZIP INDUSTRIAL BLVD SE@BROWNS MILL,33.660477,-84.384552
159344,159344,HAMILTON BLVD@3400,33.663052,-84.385826
175018,175018,ROOSEVELT HWY@DELANO RD,33.618226,-84.510975
175020,175020,ROOSEVELT HWY@DELANO RD,33.61382,-84.517232
175022,175022,ROOSEVELT HWY@FELDWOOD RD,33.612418,-84.520195
175024,175024,ROOSEVELT HWY@WELCOME ALL RD,33.610588,-84.523796
176012,176012,WASHINGTON RD@SPRING ST,33.624908,-84.492409
176014,176014,WASHINGTON RD@ROOSEVELT HWY,33.623608,-84.492477
176016,176016,ROOSEVELT HWY@STANSELL RD,33.622707,-84.494415
176018,176018,ROOSEVELT HWY@MILLER RD,33.622429,-84.497551
151130,151130,REBEL FOREST DR SE@FORREST PARK RD,33.688134,-84.360042
