20032,20032,ALPHARETTA ST@STRICKLAND RD,34.031651,-84.352412
20036,20036,ALPHARETTA ST@WOODSTOCK ST,34.029726,-84.35560799999999
20038,20038,ALPHARETTA ST@CHERRY ST,34.028276,-84.35773499999999
20040,20040,ALPHARETTA ST@GREEN ST,34.026137,-84.359828
20042,20042,ALPHARETTA ST@ELIZABETH WAY,34.024347,-84.360722
20044,20044,ATLANTA ST@OXBO RD,34.017224,-84.36248599999999
20046,20046,ATLANTA ST@OAK ST,34.020123,-84.361767
20050,20050,ATLANTA ST@HILL ST,34.021609,-84.361604
20052,20052,MAIN ST@PARK ST,33.524877,-84.664778
20054,20054,ALPHARETTA ST@THOMAS DR,34.030606999999996,-84.353944
21009,21009,MANSELL RD@901,34.042784,-84.33640799999999
21010,21010,MANSELL RD@EAGLES CREST VILLAGE LN,34.042757,-84.338995
21011,21011,MANSELL RD@WARSAW RD,34.042604,-84.33057199999999
21012,21012,MANSELL RD@OLD ROSWELL RD,34.041443,-84.324275
21014,21014,MANSELL RD@DUKE DR,34.040092,-84.31900499999999
21018,21018,MANSELL RD@WARSAW RD,34.042456,-84.328608
21023,21023,MANSELL RD@WESTSIDE PKY,34.040324,-84.319267
21025,21025,MANSELL RD@WARSAW RD,34.042695,-84.329196
21029,21029,MANSELL RD@EAGLES CREST VILLAGE LN,34.042829,-84.33871099999999
21038,21038,HOLCOMB BRIDGE RD@ALPHARETTA ST,34.035876,-84.342867
21042,21042,HOLCOMB BRIDGE RD@ALPHARETTA ST,34.034755,-84.34199
21044,21044,HOLCOMB BRIDGE RD@GRIMES BRIDGE RD,34.032834,-84.341197
21046,21046,HOLCOMB BRIDGE RD@OLD ROSWELL RD,34.032942999999996,-84.34080999999999
21048,21048,HOLCOMB BRIDGE RD@OLD ROSWELL RD,34.031756,-84.339365
21050,21050,HOLCOMB BRIDGE RD@MARKET PL,34.031295,-84.33935199999999
21052,21052,HOLCOMB BRIDGE RD@MARKET PL,34.030893,-84.338273
21054,21054,HOLCOMB BRIDGE RD@MARKET PL,34.030606,-84.338436
21056,21056,HOLCOMB BRIDGE RD@WARSAW RD,34.028137,-84.335359
21058,21058,HOLCOMB BRIDGE RD @ WARSAW RD,34.028164,-84.33501
21060,21060,HOLCOMB BRIDGE RD@RIVERWOOD LN,34.025971999999996,-84.33263099999999
21062,21062,HOLCOMB BRIDGE RD @ OLD HOLCOMB BRIDGE RD,34.025936,-84.332173
21064,21064,HOLCOMB BRIDGE RD@DOGWOOD RD,34.023851,-84.329599
21066,21066,HOLCOMB BRIDGE RD@DOGWOOD RD,34.023663,-84.329729
21070,21070,ALPHARETTA ST@MANSELL CIR,34.03456,-84.346412
21074,21074,ALPHARETTA ST@COMMERCE PKY,34.03909,-84.34285
21076,21076,ALPHARETTA ST@MANSELL RD,34.041011999999995,-84.341972
21079,21079,ALPHARETTA ST@MANSELL RD,34.042066,-84.341461
21080,21080,ALPHARETTA HWY@HOUZE WAY,34.045967,-84.34013399999999
21082,21082,ALPHARETTA HWY@MANSELL RD,34.043225,-84.341303
21084,21084,ALPHARETTA ST@1240,34.032394,-84.35105899999999
21096,21096,ALPHARETTA ST@HOUZE RD,34.038247,-84.343293
21097,21097,NORTH POINT PKY@NORTH POINT CT,34.048218999999996,-84.288122
21098,21098,HOLCOMB BRIDGE RD@OLD DOGWOOD RD,34.022482,-84.326959
21102,21102,HAYNES BRIDGE RD@NORTH POINT PKY,34.049061,-84.28672
21104,21104,HAYNES BRIDGE RD@NORTH POINT DR,34.050373,-84.28628499999999
21112,21112,HOLCOMB BRIDGE RD@GRIMES BRIDGE RD,34.033916999999995,-84.34206999999999
21120,21120,ALPHARETTA HWY@HOUZE WAY,34.045088,-84.340153
21122,21122,MANSELL RD@KINGSWOOD PL,34.039992999999996,-84.32185299999999
21124,21124,MANSELL RD@980,34.042966,-84.332759
21126,21126,MANSELL RD@WARSAW RD,34.042668,-84.33127999999999
21128,21128,MANSELL RD@DAVIS DR,34.040315,-84.31529499999999
21950,21950,MANSELL PARK & RIDE - ON RAMP,34.038139,-84.313456
21951,21951,MANSELL PARK & RIDE - IN LOT,34.038643,-84.31317299999999
21954,21954,ALPHARETTA ST@10730,34.041281,-84.342017
21960,21960,MANSELL RD@950,34.042865,-84.336136
21962,21962,MANSELL RD@OLD ROSWELL RD,34.042445,-84.325824
21964,21964,MANSELL RD@KINGSWOOD PL,34.040244,-84.32182
21966,21966,MANSELL RD@COLONIAL CTR PKWY,34.042632999999995,-84.327472
22016,22016,NORTH POINT PKY@MANSELL RD,34.038311,-84.305962
22018,22018,NORTH POINT PKY@7731,34.039226,-84.306024
22020,22020,NORTH POINT PKY@7601,34.040912999999996,-84.304853
22022,22022,NORTH POINT PKY@7301,34.042389,-84.30321599999999
22024,22024,NORTH POINT PKY@7391,34.043462,-84.30106599999999
22028,22028,NORTH POINT PKY@6440,34.045,-84.294158
22030,22030,NORTH POINT PKY@6499,34.046082,-84.292433
22032,22032,NORTH POINT PKY@6400,34.045876,-84.292137
22042,22042,NORTH POINT PKY@CENTER BRIDGE RD,34.044106,-84.299527
22044,22044,NORTH POINT PKY@CENTER BRIDGE RD,34.043757,-84.299767
22058,22058,NORTH POINT PK@6800,34.044008,-84.298468
22060,22060,NORTH POINT PKY@MANSELL RD,34.0383,-84.30651
22066,22066,NORTH POINT PKY@7500,34.040627,-84.304689
22068,22068,NORTH POINT PKY@7300,34.043212,-84.300946
26002,26002,ROSWELL RD@HOPE RD,33.989596999999996,-84.351974
26004,26004,ROSWELL RD@HUNTCLIFF,33.992785999999995,-84.35170699999999
26006,26006,ROSWELL RD@8740,33.994862,-84.351372
26007,26007,ROSWELL RD@RIVER PKY,34.001514,-84.35046
26010,26010,ROSWELL RD@ROBERTS DR,34.002901,-84.350504
26011,26011,ROSWELL RD@DUNWOODY PL,33.999742999999995,-84.350622
26018,26018,ROSWELL RD@8775,33.998459,-84.350533
26020,26020,ROSWELL RD@9040,34.000167999999995,-84.350372
26022,26022,ROSWELL RD@RIVER PKWY,34.001391999999996,-84.350327
26025,26025,ROSWELL RD@ROBERTS DR,34.002964,-84.350417
26026,26026,ATLANTA ST@RIVERSIDE RD,34.005827,-84.35068
26029,26029,ATLANTA ST@CHATTAHOOCHEE CIR,34.007536,-84.353101
26030,26030,ATLANTA ST@WARM SPRINGS CIR,34.00877,-84.35728999999999
26032,26032,ATLANTA ST@JONES DR,34.008652999999995,-84.359842
26034,26034,ATLANTA ST@KING ST,34.012419,-84.36277799999999
26036,26036,ATLANTA ST@MILL ST,34.014088,-84.362854
26040,26040,ATLANTA ST@MAPLE ST,34.016396,-84.36269399999999
26044,26044,ATLANTA ST@WARM SPRINGS CIR,34.008697999999995,-84.35744299999999
26045,26045,ATLANTA ST@CHATTAHOOCHEE CIR,34.007196,-84.35278199999999
26046,26046,ATLANTA ST@JONES DR,34.008607999999995,-84.360006
26047,26047,ATLANTA ST@AZALEA DR,34.005935,-84.350832
26048,26048,ATLANTA ST@408,34.009771,-84.361282
26050,26050,ATLANTA ST@CHATTAHOOCHEE ST,34.01181,-84.36280000000001
26052,26052,DUNWOODY PL @ 8601,33.990562,-84.343491
26056,26056,DUNWOODY PL @ 8725,33.995672,-84.34942199999999
26072,26072,DUNWOODY PL @ N RIVER DR,33.993336,-84.34731699999999
26076,26076,DUNWOODY PL @ 8711,33.994839,-84.348855
26080,26080,ROSWELL RD@HUNTINGTON PLACE DR,33.992441,-84.35152599999999
26084,26084,ATLANTA ST @ SLOAN ST,34.015363,-84.36283399999999
26086,26086,DUNWOODY PL @ ROSWELL RD,33.996611,-84.350033
27002,27002,DUNWOODY PL @ ROBERTS DR,33.989414,-84.341888
27004,27004,DUNWOODY PL @ ROBERTS DR,33.990268,-84.34312899999999
27005,27005,DUNWOODY PL @ HIGHTOWER TRL,33.986143,-84.34152499999999
27008,27008,DUNWOODY PL @ 8700,33.991574,-84.34502599999999
27010,27010,DUNWOODY PL @ 8800,33.991476,-84.34506999999999
27012,27012,DUNWOODY PL @ CEDAR RUN,33.992816999999995,-84.346627
27014,27014,DUNWOODY PL @ HOPE RD,33.993283,-84.347382
31002,31002,JETT FERRY RD@DUNWOODY CLUB DR,33.959702,-84.30229899999999
32002,32002,ROSWELL RD NE@TROWBRIDGE RD NE,33.959641,-84.365372
32004,32004,ROSWELL RD@7546,33.963367,-84.36492199999999
32006,32006,ROSWELL RD@7741,33.965835999999996,-84.36303699999999
32012,32012,ROSWELL RD@GROGANS FERRY RD,33.973206,-84.357254
32014,32014,ROSWELL RD@BRANTLEY RD,33.974342,-84.35501099999999
32016,32016,ROSWELL RD@PITTS RD,33.97517,-84.35334
32017,32017,ROSWELL RD @ NORTHRIDGE CROSSING DR,33.977017,-84.35156099999999
32020,32020,ROSWELL RD@8215,33.978828,-84.350815
32022,32022,ROSWELL RD@NORTHRIDGE RD,33.981735,-84.350197
32025,32025,ROSWELL RD@NORTHRIDGE PKY,33.985492,-84.350498
32026,32026,ROSWELL RD@HIGHTOWER TRL,33.988583999999996,-84.351328
32028,32028,ROSWELL RD@TROWBRIDGE RD,33.958853999999995,-84.365489
32032,32032,ROSWELL RD@7730,33.965987999999996,-84.363388
32034,32034,ROSWELL RD@MORGAN FALLS RD,33.968826,-84.36136599999999
32036,32036,ROSWELL RD@7840,33.970417,-84.359618
32038,32038,ROSWELL RD@7878,33.971503999999996,-84.358749
32040,32040,ROSWELL RD@GROGANS FERRY RD,33.973217,-84.35760499999999
32042,32042,ROSWELL RD@BRANTLEY RD,33.974357999999995,-84.355637
32044,32044,ROSWELL RD@ISON RD,33.97491,-84.35405999999999
32045,32045,ROSWELL RD@NORTHRIDGE CROSSING DR,33.976991999999996,-84.351929
32046,32046,ROSWELL RD@8215,33.97891,-84.351072
32050,32050,ROSWELL RD@NORTHRIDGE PKY,33.984066,-84.35067699999999
32051,32051,ROSWELL RD@8450,33.985727,-84.350793
32053,32053,ROSWELL RD@HIGHTOWER TRL,33.987788,-84.35140899999999
32070,32070,ROSWELL RD@MORGAN FALLS RD,33.96814,-84.36117
32072,32072,ROSWELL RD@7840,33.970314,-84.359644
32080,32080,ROSWELL RD@7525,33.960848999999996,-84.365506
32082,32082,ROSWELL RD @ NORTHRIDGE RD,33.981055999999995,-84.35043399999999
33016,33016,DUNWOODY PL @ NORTHRIDGE PKY,33.984747,-84.341274
33017,33017,DUNWOODY PL @ HIGHTOWER TRL,33.986179,-84.341481
33018,33018,DUNWOODY PL @ NORTHRIDGE RD,33.982438,-84.342942
35010,35010,ROSWELL RD@7865,33.97147,-84.358452
35016,35016,ROSWELL RD NE@6701,33.939087,-84.37597699999999
35018,35018,ROSWELL RD NE@6851,33.942313999999996,-84.37287099999999
35020,35020,ROSWELL RD@7640,33.962807,-84.365623
35022,35022,ROSWELL RD NE@SPALDING DR NE,33.945827,-84.37095599999999
35024,35024,ROSWELL RD NE@7070,33.948153999999995,-84.370522
35027,35027,ROSWELL RD NE@7140,33.949751,-84.369406
35031,35031,ROSWELL RD NE@7155,33.950970999999996,-84.368442
35033,35033,ROSWELL RD NE@7155,33.950722999999996,-84.36816999999999
35034,35034,ROSWELL RD NE @ DALRYMPLE RD NE,33.955355,-84.364745
35038,35038,ROSWELL RD NE @ DALRYMPLE RD NE,33.955926999999996,-84.364462
35040,35040,ROSWELL RD NE@7447,33.956905,-84.364632
35041,35041,ROSWELL RD NE@6700,33.939301,-84.376477
35046,35046,ROSWELL RD NE@6940,33.944717,-84.37198599999999
35047,35047,ROSWELL RD NE@6900,33.943185,-84.37283099999999
35048,35048,ROSWELL RD NE@SPALDING DR NE,33.946217,-84.371246
35060,35060,ROSWELL RD NE @ 6500,33.933969999999995,-84.379913
35064,35064,ROSWELL RD NE@6560,33.934684,-84.379965
35066,35066,ROSWELL RD NE @ ABERNATHY RD,33.935806,-84.379508
35072,35072,ROSWELL RD NE@6575,33.935393,-84.379238
35129,35129,ROSWELL RD NE@7256,33.953271,-84.366776
35132,35132,ROSWELL RD NE@7256,33.95277,-84.366646
